latitude,longitude,timestamp,cluster,road
35.793182,51.434827,2024-04-03 08:38:00+03:30,18,4810466
35.791843,51.434991,2024-04-03 08:38:00+03:30,18,4810466
35.793816,51.435515,2024-04-03 08:39:00+03:30,18,4810491
35.792699,51.43483,2024-04-03 08:39:00+03:30,18,4810466
35.792604,51.434948,2024-04-03 08:40:00+03:30,18,4810466
35.79383,51.43595,2024-04-03 08:41:00+03:30,18,4810491
35.791916,51.434976,2024-04-03 08:42:00+03:30,18,4810466
35.79209,51.43494,2024-04-03 08:45:00+03:30,18,4810466
35.860633,51.004723,2024-04-03 09:01:00+03:30,19,310473645
35.757714,51.410436,2024-04-03 09:02:00+03:30,20,4299807
35.714826,51.490801,2024-04-03 09:02:00+03:30,21,4344231
35.714462,51.490305,2024-04-03 09:02:00+03:30,21,4344231
36.338538,59.561497,2024-04-03 09:02:00+03:30,22,24374319
36.33827,59.561704,2024-04-03 09:03:00+03:30,22,24374319
36.338293,59.561686,2024-04-03 09:03:00+03:30,22,24374319
35.71446,51.4903,2024-04-03 09:03:00+03:30,21,4344231
35.757941,51.410108,2024-04-03 09:03:00+03:30,20,4299807
35.758246,51.409838,2024-04-03 09:04:00+03:30,20,4299807
36.338619,59.561435,2024-04-03 09:04:00+03:30,22,24374319
35.860993,51.004603,2024-04-03 09:04:00+03:30,19,310473645
35.758373,51.410078,2024-04-03 09:05:00+03:30,20,4299807
35.651991,51.37358,2024-04-03 09:05:00+03:30,23,4480299
35.652281,51.373562,2024-04-03 09:06:00+03:30,23,4480299
35.758477,51.409752,2024-04-03 09:06:00+03:30,20,4299807
35.758119,51.409958,2024-04-03 09:07:00+03:30,20,4299807
35.652356,51.374064,2024-04-03 09:07:00+03:30,23,4480299
35.714831,51.490816,2024-04-03 09:07:00+03:30,21,4344231
35.714445,51.490332,2024-04-03 09:07:00+03:30,21,4344231
35.651318,51.37296,2024-04-03 09:08:00+03:30,23,4480299
35.714972,51.490521,2024-04-03 09:08:00+03:30,21,4344231
35.714841,51.490848,2024-04-03 09:09:00+03:30,21,4344231
35.6512,51.372671,2024-04-03 09:09:00+03:30,23,4480299
35.71483,51.490815,2024-04-03 09:11:00+03:30,21,4344231
35.760289,51.409537,2024-04-03 09:12:00+03:30,20,4296646
35.75763,51.410765,2024-04-03 09:15:00+03:30,20,4299807
35.861329,51.004491,2024-04-03 09:15:00+03:30,19,310473645
35.758969,51.409627,2024-04-03 09:16:00+03:30,20,4299807
35.759529,51.409513,2024-04-03 09:16:00+03:30,20,4299807
35.757604,51.411135,2024-04-03 09:16:00+03:30,20,4299807
35.75764,51.41156,2024-04-03 09:17:00+03:30,20,4299807
35.757521,51.411164,2024-04-03 09:18:00+03:30,20,4299807
35.759919,51.409498,2024-04-03 09:19:00+03:30,20,4299807
35.714944,51.490512,2024-04-03 09:21:00+03:30,21,4344231
35.757119,51.409913,2024-04-03 09:30:00+03:30,20,4299807
35.757509,51.411018,2024-04-03 09:35:00+03:30,20,4299807
35.701237,51.391361,2024-04-03 09:45:00+03:30,7,4294989
35.701472,51.391093,2024-04-03 09:46:00+03:30,7,4294989
35.701262,51.391083,2024-04-03 09:48:00+03:30,7,4294989
35.780508,51.431911,2024-04-03 10:01:00+03:30,24,4554188
35.780737,51.432416,2024-04-03 10:02:00+03:30,24,4554188
35.777591,51.401239,2024-04-03 10:03:00+03:30,25,4313940
35.780973,51.432585,2024-04-03 10:03:00+03:30,24,4554188
35.77759,51.401086,2024-04-03 10:04:00+03:30,25,4313940
35.780043,51.431209,2024-04-03 10:04:00+03:30,24,4554188
35.778344,51.426728,2024-04-03 10:05:00+03:30,24,4554188
35.77759,51.401151,2024-04-03 10:07:00+03:30,25,4313940
35.777648,51.400575,2024-04-03 10:08:00+03:30,25,4313940
35.778028,51.401166,2024-04-03 10:09:00+03:30,25,4313940
35.781373,51.433134,2024-04-03 10:15:00+03:30,24,4554188
35.757894,51.409692,2024-04-03 11:03:00+03:30,20,4299807
35.757209,51.40964,2024-04-03 11:04:00+03:30,20,4299807
35.7577,51.409488,2024-04-03 11:05:00+03:30,20,4299807
35.757387,51.409481,2024-04-03 11:06:00+03:30,20,4299807
35.757458,51.408999,2024-04-03 11:07:00+03:30,20,4299807
35.757137,51.409503,2024-04-03 11:08:00+03:30,20,4299807
35.757117,51.409986,2024-04-03 11:09:00+03:30,20,4299807
35.757036,51.409345,2024-04-03 11:10:00+03:30,20,4299807
35.86065,51.004717,2024-04-03 12:01:00+03:30,19,310473645
35.861755,51.004349,2024-04-03 12:02:00+03:30,19,310473645
35.86117,51.004544,2024-04-03 12:03:00+03:30,19,310473645
31.320678,48.692962,2024-04-03 13:01:00+03:30,26,171350856
31.322602,48.693301,2024-04-03 13:01:00+03:30,26,56155724
35.597611,51.440072,2024-04-03 13:01:00+03:30,27,27707365
35.5969,51.439435,2024-04-03 13:02:00+03:30,27,27707365
35.596744,51.439357,2024-04-03 13:02:00+03:30,27,27707365
31.323276,48.69341,2024-04-03 13:02:00+03:30,26,56155724
36.381785,59.621954,2024-04-03 14:02:00+03:30,28,58394083
36.382018,59.623355,2024-04-03 14:03:00+03:30,28,58394083
36.381777,59.622017,2024-04-03 14:04:00+03:30,28,58394083
36.381346,59.620007,2024-04-03 14:04:00+03:30,28,58394083
35.020358,50.857775,2024-04-03 14:05:00+03:30,29,100354156
35.022901,50.858558,2024-04-03 14:25:00+03:30,29,100354156
35.700136,51.352565,2024-04-03 15:02:00+03:30,30,4292665
35.700243,51.351685,2024-04-03 15:02:00+03:30,30,4292665
35.657708,51.362336,2024-04-03 15:05:00+03:30,31,35306897
35.657534,51.362365,2024-04-03 15:08:00+03:30,31,35306897
35.657707,51.361692,2024-04-03 15:12:00+03:30,31,35306897
35.657601,51.362904,2024-04-03 15:16:00+03:30,31,35306897
34.625415,50.875446,2024-04-03 16:02:00+03:30,32,248844004
35.806751,51.428724,2024-04-03 16:02:00+03:30,17,4431143
34.626289,50.875983,2024-04-03 16:03:00+03:30,32,248844004
35.806773,51.428608,2024-04-03 16:03:00+03:30,17,4431143
35.806802,51.428524,2024-04-03 16:04:00+03:30,17,4431143
35.806747,51.428759,2024-04-03 16:05:00+03:30,17,4431143
35.701227,51.391505,2024-04-03 17:01:00+03:30,7,4294989
35.79829,51.418092,2024-04-03 17:02:00+03:30,14,4295360
35.798972,51.418424,2024-04-03 17:03:00+03:30,14,4295360
35.701267,51.391231,2024-04-03 17:03:00+03:30,7,4294989
35.799212,51.418541,2024-04-03 17:04:00+03:30,14,4295360
35.701435,51.391098,2024-04-03 17:04:00+03:30,7,4294989
35.701219,51.390792,2024-04-03 17:05:00+03:30,7,4294989
35.798776,51.418329,2024-04-03 17:06:00+03:30,14,4295360
35.798545,51.418217,2024-04-03 17:08:00+03:30,14,4295360
35.701132,51.396423,2024-04-03 18:01:00+03:30,7,4294989
35.701121,51.395727,2024-04-03 18:03:00+03:30,7,4294989
35.701124,51.395935,2024-04-03 18:04:00+03:30,7,4294989
35.742997,51.535158,2024-04-03 18:05:00+03:30,33,19781759
35.700965,51.396094,2024-04-03 18:05:00+03:30,7,4294989
35.700973,51.396422,2024-04-03 18:06:00+03:30,7,4294989
35.743022,51.534307,2024-04-03 18:07:00+03:30,33,19781759
35.701463,51.286645,2024-04-03 19:02:00+03:30,34,37073522
32.622745,51.663926,2024-04-03 19:02:00+03:30,9,28810138
35.701552,51.285847,2024-04-03 19:03:00+03:30,34,37073522
32.622366,51.662854,2024-04-03 19:03:00+03:30,9,28810138
32.62243,51.665467,2024-04-03 19:04:00+03:30,9,28810138
35.701832,51.284661,2024-04-03 19:06:00+03:30,34,37073522
35.700847,51.396161,2024-04-03 19:30:00+03:30,7,4294989
38.101923,46.316145,2024-04-03 22:02:00+03:30,35,196302439
38.102689,46.316196,2024-04-03 22:02:00+03:30,35,196302439
38.103488,46.316249,2024-04-03 22:03:00+03:30,35,196302439
38.1044,46.316232,2024-04-03 22:04:00+03:30,35,196302439
35.651317,51.332108,2024-04-03 23:01:00+03:30,36,36952904
29.612225,52.544315,2024-04-03 23:02:00+03:30,37,23057168
35.651958,51.331694,2024-04-03 23:02:00+03:30,36,36952904
29.612517,52.543817,2024-04-03 23:02:00+03:30,37,23057168
29.612377,52.544058,2024-04-03 23:02:00+03:30,37,23057168
35.652214,51.331527,2024-04-03 23:05:00+03:30,36,36952904
35.652483,51.331352,2024-04-03 23:06:00+03:30,36,36952904
35.652817,51.331132,2024-04-03 23:07:00+03:30,36,36952904
